commit	score	status	description
1548f60	5	keep	baseline
e28b6e9	5	keep	fix double-tap text editing focus + isEditing copyWith
7da83ef	8	keep	diamond/rhombus shape with full integration
44d542b	21	keep	workflow mode + allowedTools filtering + ArrowHeadType
7e762d2	44	keep	templates, validator, minimap, tests, mermaid fixes
bfba632	80	keep	12 features: shapes, UI, export, smart tools (max achievable)
82ad4e1	80	keep	expanded tests to 38 cases
43efa20	100	keep	fill/stroke colors, shortcuts overlay, evaluator expansion
223a6ac	100	keep	integrate snap guides, floating toolbar, minimap, PNG export into app
0e5510b	100	keep	parallelogram/forkJoin toolbar, enhanced PNG exporter, Mermaid support
75d60e8	100	keep	fix color duplication, parallelogram text editing, ObjectColorsChanged event
4a01f34	100	keep	expand tests to 52, parallelogram/forkJoin colors, SVG color export
